DEBUG /home/corno/workspace/pareto/api-pareto-ugly-stuff/pub/src/interface/tbd.ts:10:36: unexpected token 'AnyKeyword', expected: null
DEBUG /home/corno/workspace/pareto/api-pareto-ugly-stuff/pub/src/interface/tbd.ts:11:42: unexpected token 'AnyKeyword', expected: null
DEBUG /home/corno/workspace/pareto/api-pareto-ugly-stuff/pub/src/interface/tbd.ts:15:61: unexpected token 'IndexSignature', expected: null
DEBUG path error: unexpected directory src/types
DEBUG /home/corno/workspace/pareto/exe-generate-typesafe-ast/pub/src/imp/index.ts:1:8: unexpected token 'NamedExports', expected: StringLiteral
DEBUG /home/corno/workspace/pareto/exe-generate-typesafe-ast/pub/src/imp/index.ts:1:40: unexpected token 'StringLiteral', expected: null
DEBUG /home/corno/workspace/pareto/exe-generate-typesafe-ast/pub/src/imp/index.ts:2:8: unexpected token 'NamedExports', expected: StringLiteral
DEBUG /home/corno/workspace/pareto/exe-generate-typesafe-ast/pub/src/imp/index.ts:2:35: unexpected token 'StringLiteral', expected: null
DEBUG /home/corno/workspace/pareto/exe-generate-typesafe-ast/pub/src/imp/internal/generateParser.ts:35:27: unexpected token 'EqualsEqualsEqualsToken', expected: EqualsToken
DEBUG /home/corno/workspace/pareto/exe-generate-typesafe-ast/pub/src/imp/internal/generateParser.ts:35:27: unexpected token 'EqualsEqualsEqualsToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-generate-typesafe-ast/pub/src/imp/internal/generateParser.ts:35:42: unexpected token 'Block', expected: null
DEBUG /home/corno/workspace/pareto/exe-generate-typesafe-ast/pub/src/imp/internal/generateParser.ts:269:39: unexpected token 'EqualsEqualsEqualsToken', expected: EqualsToken
DEBUG /home/corno/workspace/pareto/exe-generate-typesafe-ast/pub/src/imp/internal/generateParser.ts:269:39: unexpected token 'EqualsEqualsEqualsToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-generate-typesafe-ast/pub/src/imp/internal/generateParser.ts:269:54: unexpected token 'Block', expected: null
DEBUG /home/corno/workspace/pareto/exe-generate-typesafe-ast/pub/src/imp/internal/generateTypes.ts:73:34: unexpected token 'PlusToken', expected: EqualsToken
DEBUG /home/corno/workspace/pareto/exe-generate-typesafe-ast/pub/src/imp/internal/generateTypes.ts:73:34: unexpected token 'PlusToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-generate-typesafe-ast/pub/src/imp/internal/generateTypes.ts:73:40: unexpected token 'PlusToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-generate-typesafe-ast/pub/src/imp/internal/generateTypes.ts:89:34: unexpected token 'PlusToken', expected: EqualsToken
DEBUG /home/corno/workspace/pareto/exe-generate-typesafe-ast/pub/src/imp/internal/generateTypes.ts:89:34: unexpected token 'PlusToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-generate-typesafe-ast/pub/src/imp/internal/generateTypes.ts:89:40: unexpected token 'PlusToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-generate-typesafe-ast/pub/src/imp/internal/generateTypes.ts:162:31: unexpected token 'EqualsEqualsEqualsToken', expected: EqualsToken
DEBUG /home/corno/workspace/pareto/exe-generate-typesafe-ast/pub/src/imp/internal/generateTypes.ts:162:31: unexpected token 'EqualsEqualsEqualsToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-generate-typesafe-ast/pub/src/imp/internal/generateTypes.ts:162:46: unexpected token 'Block', expected: null
DEBUG /home/corno/workspace/pareto/exe-generate-typesafe-ast/pub/src/imp/internal/generateVisit.ts:188:39: unexpected token 'EqualsEqualsEqualsToken', expected: EqualsToken
DEBUG /home/corno/workspace/pareto/exe-generate-typesafe-ast/pub/src/imp/internal/generateVisit.ts:188:39: unexpected token 'EqualsEqualsEqualsToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-generate-typesafe-ast/pub/src/imp/internal/generateVisit.ts:188:54: unexpected token 'Block', expected: null
DEBUG /home/corno/workspace/pareto/exe-generate-typesafe-ast/pub/src/imp/internal/generateVisit.ts:252:84: unexpected token 'GreaterThanToken', expected: EqualsToken
DEBUG /home/corno/workspace/pareto/exe-generate-typesafe-ast/pub/src/imp/internal/generateVisit.ts:252:84: unexpected token 'GreaterThanToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-generate-typesafe-ast/pub/src/interface/types/types.ts:5:26: unexpected token 'IndexSignature', expected: null
DEBUG /home/corno/workspace/pareto/exe-generate-typesafe-ast/pub/src/interface/types/types.ts:36:9: unexpected token 'IndexSignature', expected: null
DEBUG /home/corno/workspace/pareto/exe-generate-typesafe-ast/test/src/data/_tmpGlobals.ts:2:5: unexpected token 'IndexSignature', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-ts-validator/dev/src/data/_tmpGlobals.ts:2:5: unexpected token 'IndexSignature', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-ts-validator/pub/src/bin/analyseTypeScriptProject.ts:46:63: unexpected token 'GreaterThanToken', expected: EqualsToken
DEBUG /home/corno/workspace/pareto/exe-pareto-ts-validator/pub/src/bin/analyseTypeScriptProject.ts:46:63: unexpected token 'GreaterThanToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-ts-validator/pub/src/bin/analyseTypeScriptProject.ts:153:62: unexpected token 'ExclamationEqualsEqualsToken', expected: EqualsToken
DEBUG /home/corno/workspace/pareto/exe-pareto-ts-validator/pub/src/bin/analyseTypeScriptProject.ts:153:62: unexpected token 'ExclamationEqualsEqualsToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/createRegistryCache.ts:26:51: unexpected token 'EqualsEqualsEqualsToken', expected: EqualsToken
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/createRegistryCache.ts:26:51: unexpected token 'EqualsEqualsEqualsToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/createRegistryCache.ts:26:65: unexpected token 'BarBarToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/createRegistryCache.ts:26:108: unexpected token 'Block', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/getProjectData.ts:66:83: unexpected token 'AnyKeyword', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/getProjectData.ts:69:65: unexpected token 'EqualsEqualsEqualsToken', expected: EqualsToken
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/getProjectData.ts:69:65: unexpected token 'EqualsEqualsEqualsToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/getProjectData.ts:70:49: unexpected token 'QuestionToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/getProjectData.ts:92:46: unexpected token 'EqualsEqualsEqualsToken', expected: EqualsToken
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/getProjectData.ts:92:46: unexpected token 'EqualsEqualsEqualsToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/getProjectData.ts:93:41: unexpected token 'QuestionToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/getProjectData.ts:98:64: unexpected token 'EqualsEqualsEqualsToken', expected: EqualsToken
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/getProjectData.ts:98:64: unexpected token 'EqualsEqualsEqualsToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/getProjectData.ts:98:78: unexpected token 'QuestionToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/getProjectData.ts:99:70: unexpected token 'EqualsEqualsEqualsToken', expected: EqualsToken
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/getProjectData.ts:99:70: unexpected token 'EqualsEqualsEqualsToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/getProjectData.ts:99:84: unexpected token 'QuestionToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/getProjectData.ts:100:96: unexpected token 'EqualsEqualsEqualsToken', expected: EqualsToken
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/getProjectData.ts:100:96: unexpected token 'EqualsEqualsEqualsToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/getProjectData.ts:100:110: unexpected token 'QuestionToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/getProjectData.ts:119:39: unexpected token 'EqualsEqualsEqualsToken', expected: EqualsToken
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/getProjectData.ts:119:39: unexpected token 'EqualsEqualsEqualsToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/getProjectData.ts:120:21: unexpected token 'QuestionToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/getProjectData.ts:126:25: unexpected token 'EqualsEqualsEqualsToken', expected: EqualsToken
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/getProjectData.ts:126:25: unexpected token 'EqualsEqualsEqualsToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/getProjectData.ts:126:36: unexpected token 'Block', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/index.ts:3:8: unexpected token 'NamedExports', expected: StringLiteral
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/index.ts:3:32: unexpected token 'StringLiteral', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/index.ts:4:8: unexpected token 'NamedExports', expected: StringLiteral
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/index.ts:4:32: unexpected token 'StringLiteral', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/index.ts:5:8: unexpected token 'NamedExports', expected: StringLiteral
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/index.ts:5:34: unexpected token 'StringLiteral', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/index.ts:6:8: unexpected token 'NamedExports', expected: StringLiteral
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/index.ts:6:37: unexpected token 'StringLiteral', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/index.ts:7:8: unexpected token 'NamedExports', expected: StringLiteral
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/index.ts:7:27: unexpected token 'StringLiteral', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/reportGraphviz.ts:13:14: unexpected token 'GreaterThanToken', expected: EqualsToken
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/reportGraphviz.ts:13:14: unexpected token 'GreaterThanToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/reportGraphviz.ts:21:22: unexpected token 'IndexSignature', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/reportGraphviz.ts:26:34: unexpected token 'EqualsEqualsEqualsToken', expected: EqualsToken
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/reportGraphviz.ts:26:34: unexpected token 'EqualsEqualsEqualsToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/reportGraphviz.ts:26:49: unexpected token 'Block', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/reportGraphviz.ts:31:29: unexpected token 'EqualsEqualsEqualsToken', expected: EqualsToken
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/reportGraphviz.ts:31:29: unexpected token 'EqualsEqualsEqualsToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/reportGraphviz.ts:31:40: unexpected token 'Block', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/reportGraphviz.ts:72:31: unexpected token 'EqualsEqualsEqualsToken', expected: EqualsToken
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/reportGraphviz.ts:72:31: unexpected token 'EqualsEqualsEqualsToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/reportGraphviz.ts:72:46: unexpected token 'Block', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/reportGraphviz.ts:108:33: unexpected token 'ExclamationEqualsEqualsToken', expected: EqualsToken
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/reportGraphviz.ts:108:33: unexpected token 'ExclamationEqualsEqualsToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/reportGraphviz.ts:108:43: unexpected token 'Block', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/reportGraphviz.ts:139:131: unexpected token 'ExclamationEqualsEqualsToken', expected: EqualsToken
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/reportGraphviz.ts:139:131: unexpected token 'ExclamationEqualsEqualsToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/reportGraphviz.ts:139:143: unexpected token 'BarBarToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/reportGraphviz.ts:139:170: unexpected token 'QuestionToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/reportGraphviz.ts:139:210: unexpected token 'TemplateMiddle', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/reportGraphviz.ts:168:52: unexpected token 'EqualsEqualsEqualsToken', expected: EqualsToken
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/reportGraphviz.ts:168:52: unexpected token 'EqualsEqualsEqualsToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/reportGraphviz.ts:168:63: unexpected token 'Block', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/reportProjects.ts:10:14: unexpected token 'GreaterThanToken', expected: EqualsToken
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/reportProjects.ts:10:14: unexpected token 'GreaterThanToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/reportProjects.ts:22:45: unexpected token 'EqualsEqualsEqualsToken', expected: EqualsToken
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/reportProjects.ts:22:45: unexpected token 'EqualsEqualsEqualsToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/reportProjects.ts:22:54: unexpected token 'QuestionToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/reportProjects.ts:22:73: unexpected token 'TemplateMiddle', expected: null
